#DCS calculation
#Chromosome size : 26
#Population size : 55
#Crossover rate : 0.25 , Mutation rate : 0.05 , Tournament size : 5
Generation.Number, Best.Fitness, Average.Fitness, Fitness.Deviance
1 5.424002229870297 5.3253840075090215 0.09952716528419346
2 54.52009705610453 53.52882256417536 1.0004108554990596
3 76.34837392162257 74.9602216685022 1.400946553567037
4 40.970394728807676 40.22547846101114 0.7517820006557184
5 34.221769346488315 33.59955535837039 0.6279488004832183
6 59.210448888363345 58.13389527221126 1.0864759790492622
7 36.82734836688971 36.157760214764465 0.6757596019604927
8 5.721294240817244 5.6172707091660286 0.10498229414609113
9 29.417305406402562 28.88244530810435 0.5397897886683988
10 30.132277737004628 29.584418141786372 0.5529090991527535
11 31.60812344079885 31.03343028732979 0.5799899765326674
12 33.6764554589344 33.064156268771974 0.617942619969624
13 6.113146046617189 6.001997936678703 0.112172538137508
14 38.116774701513435 37.42374243421316 0.699419796497555
15 11.742003821458624 11.52851284288666 0.21545867895667672
16 34.35592130760587 33.731268192922165 0.6304104079534048
17 31.842983576653708 31.264020238896393 0.5842995181901336
18 58.64308854419788 57.57685057066694 1.0760652593710456
19 62.31515495566259 61.18215213828682 1.143445460407074
20 23.81192896235028 23.378984799398467 0.43693451608849937
21 51.50525124284458 50.56879212933837 0.9450902555349661
22 27.933808012002416 27.42592059360235 0.5125685073868743
23 39.95278653395518 39.22637223333776 0.7331095048285982
24 68.28793214900134 67.04633338265586 1.25304231485763
25 28.93187525199376 28.40584115650295 0.5308824384933657
26 2.2807234698466488 2.2392557703948914 0.04184989830957382
27 9.80870701191229 9.630366884422983 0.17998385004759687
28 35.059934502003074 34.42248114742117 0.6433286249068418
29 42.75422339708744 41.976873880776736 0.7845141794385423
30 23.518286180567173 23.090680977284155 0.43154634837792055
31 44.381827544021135 43.57488522503898 0.8143797326008544
32 21.142450140083696 20.75804195571855 0.38795119183703597
33 6.450409960734234 6.333129779629984 0.11836112728296677
34 19.428954394918165 19.075700678646914 0.3565095797183023
35 2.355542290848817 2.31271424919702 0.043222778490788226
36 27.3438574728912 26.846696427929523 0.5017432712739024
37 26.86061622292405 26.37224138250726 0.4928760861734028
38 12.947241546580514 12.7118371548245 0.2375740633520662
39 8.255250329311195 8.105154868778264 0.15147885807698502
40 44.05465039705537 43.25365675347257 0.8083762295411014
41 20.36013302881402 19.98994879192651 0.37359614529792723
42 40.44526147248199 39.70989308207318 0.7421461225377776
43 9.527941207163991 9.354705912488269 0.17483196708904447
44 2.8791960427057006 2.826847023747415 0.05283150859523653
45 11.570405944225655 11.3600349270579 0.21230996153993484
46 54.78693457231694 53.790808489183945 1.005307162774451
47 52.57959833744499 51.62360564040058 0.9648038759070463
48 19.324264165550815 18.972913907995363 0.3545885772333371
49 5.644140446607963 5.541519711215088 0.10356656861666146
50 39.11228205571925 38.4011496547062 0.717686755245783
51 40.4643099135907 39.72859518788908 0.7424956499284154
52 34.70593313883499 34.074916172674364 0.6368329136792518
53 4.5139029742812085 4.431832011112466 0.08282739356632213
54 24.200187422688344 23.7601840150031 0.44405882436077626
55 43.1035416679001 42.31984091030193 0.7909239587495297
56 4.632398187549043 4.5481727659572355 0.08500170916881565
57 38.96817468261703 38.25966241566035 0.7150424719779379
58 19.81884006028767 19.458497513737 0.36366374622017494
59 29.729080401657924 29.188551667082336 0.5455106715458827
60 32.10608232455559 31.522335373200075 0.5891272213249487
61 54.8931590508777 53.895101613589055 1.0072563178055325
62 0.8800812773611142 0.8640797995909121 0.016148959945678526
63 51.42926657547842 50.49418900137876 0.9436959827771584
64 13.087634369846171 12.849677381303527 0.2401501868737026
65 24.250641937382838 23.809721174884977 0.44498463423519424
66 4.484311007262235 4.402778079857474 0.08228439884254336
67 5.9814762774433206 5.872722163307995 0.109756477390459
68 7.7948695112589235 7.653144611054215 0.14303114809640535
69 10.277908123694914 10.091037066900476 0.1885934070914172
70 0.7515298226208671 0.7378656440277604 0.01379011838529024
71 0.7084509162803272 0.6955699905297758 0.012999646469920188
72 1.6597685181576196 1.629590908736572 0.030455749949816768
73 4.967747891999721 4.877425203054271 0.09115517372291024
74 5.3013650770645455 5.204976621117909 0.09727684759258115
75 4.8798611949980994 4.7911364459981405 0.08954250590897894
76 3.2623067907012597 3.202992121779415 0.05986135945479949
77 6.122226962196365 6.010913744701877 0.11233916745430607
78 5.019275067902512 4.928015521213383 0.09210066628270652
79 9.93543581540142 9.754791527848676 0.182309247058251
80 9.773281220479916 9.595585198289381 0.1793338081689629
81 2.4141937230160977 2.370299291688532 0.044298996850603935
82 12.156195805091812 11.935174063181037 0.22305885171980083
83 4.934401036408033 4.844684653927881 0.09054327906145994
84 6.736527304460182 6.614044989833642 0.12361120774990782
85 3.382881964766213 3.3213750199522853 0.0620738410817809
86 14.55785810952463 14.293169780260564 0.26712790460727465
87 3.2461251165009344 3.187104659837281 0.059564435505568655
88 8.29599242235129 8.145156196490348 0.15222645087953718
89 0.7710138244478912 0.7569953912761114 0.014147638052143773
90 6.915170542423823 6.789440168925208 0.1268892032812973
91 24.468955619693503 24.02406551751726 0.44899055846278896
92 6.188854735436905 6.076330103883507 0.11356174685577893
93 16.276165913767898 15.980235624426685 0.2986578151040319
94 14.613192646758975 14.347498234999733 0.2681432599481976
95 5.355763231837827 5.2583857185316925 0.09827502088081685
96 1.9464009134659648 1.9110118059484018 0.0357152813022479
97 15.520717098978096 15.238522242633051 0.284795785579189
98 13.31614725690217 13.074035488594854 0.24434326034893825
99 36.20884582158605 35.550503170284465 0.6644104537769114
