Projection, Label
1.195500604653E8 4
1.446050453622E8 4
2.707950676482999E8 4
1.874876253875E8 4
1.2483272894679998E8 4
2.695615771427E8 4
1.609453904671E8 4
1.2951531859930001E8 4
1.75519174014E8 4
1.215880185542E8 4
1.650596016728E8 4
2.2506365361739996E8 4
2.4366160589940003E8 4
1.1359216378349999E8 4
8.8760745883E7 4
1.4749321667219996E8 4
1.5192070328850004E8 4
1.119048473256E8 4
1.3055656780750002E8 4
2.2612690865069997E8 4
1.09644965988E8 4
1.6036706372540003E8 4
1.637438575176E8 4
8.438132307279998E7 4
1.5358198010259998E8 4
1.8418528896739998E8 4
1.896091129308E8 4
1.9542781531620002E8 4
1.7168798257790002E8 4
1.2478990056039998E8 5
3.245201362869E8 5
9.04948979112E7 5
1.380727101665E8 5
5.49372122205E7 5
1.6548906896980003E8 5
2.6582205850640002E8 5
6.5228640138900004E7 5
1.2393645228040001E8 5
4.46038004749E7 5
1.164043510217E8 5
1.434522563191E8 5
7.46996277463E7 5
2.011769503844E8 5
1.2312389980900002E8 5
1.9913697389490005E8 5
9.476951061170003E7 5
1.1382585270469998E8 5
1.0725074666690001E8 5
1.0427540302449998E8 5
1.488867874596E8 5
1.7606911579509997E8 5
1.8732573242020002E8 5
9.74398366565E7 5
1.71653833039E8 5
2.0478556895449993E8 5
8.614896815428792E7 4
1.0172638898124392E8 4
1.89736817640376E8 4
1.5134965173778096E8 4
1.1167519688929678E8 4
2.025053660634864E8 4
1.255237247352413E8 4
1.0279059075745939E8 4
1.2053691360521472E8 4
1.0302380447592594E8 4
1.2545654794781132E8 4
2.1061080326160833E8 4
2.2208160959456816E8 4
8.939994330332962E7 4
7.653364362751795E7 4
1.1779593314018609E8 4
1.2855816450348419E8 4
6.954781362498166E7 4
1.2709423319190066E8 4
1.538149602957476E8 4
1.1259460119066861E8 4
1.6879141761050537E8 4
1.3923149834910336E8 4
5.788584949276163E7 4
1.751614976326878E8 4
1.653302831001763E8 4
1.2790580385487573E8 4
1.490485461882706E8 4
1.560623923073956E8 4
1.86950883831841E8 5
5.459101210500195E8 5
3.642977813237931E8 5
3.420079378111072E8 5
1.4168401338503766E8 5
5.051644346699887E8 5
6.517996162909926E8 5
1.2639245881272277E8 5
1.7562917249766174E8 5
9.22669084934314E7 5
3.952148704768004E8 5
3.142748053805374E8 5
1.9259700973759067E8 5
6.32967242716776E8 5
5.502317252455552E8 5
8.262874732661213E8 5
2.2589271797162536E8 5
2.7505271901565707E8 5
3.3261920268780154E8 5
1.8480714531115305E8 5
5.403167807306603E8 5
3.842816909706686E8 5
4.1419445833541644E8 5
2.6327316768996364E8 5
5.19396333764566E8 5
9.781952528498157E8 5
1.5360451018990892E8 4
1.5852535840673384E8 4
3.1214002641017205E8 4
2.757588563876162E8 4
1.2170151914598835E8 4
5.494448509383417E8 4
1.8090361277475226E8 4
1.4932867857499272E8 4
3.037415875476391E8 4
1.4141493914089692E8 4
1.678395811742139E8 4
2.3896424403170943E8 4
2.5527565682988396E8 4
1.412539265029298E8 4
9.70786152820191E7 4
1.530686715917447E8 4
1.5262949973589256E8 4
2.1577472789149326E8 4
7.404952152681026E7 4
5.250794314810924E8 4
1.3916928109529713E8 4
2.2471815444785255E8 4
1.5505488929505688E8 4
9.431456140980627E7 4
1.7877976276075077E8 4
1.7857942374412933E8 4
2.0891945264806077E8 4
3.0651278949047226E8 4
1.7166705953206322E8 4
2.1708767100033662E8 5
3.5849894290647644E8 5
2.2693353710665798E8 5
1.603611983682078E8 5
1.0827897744727594E8 5
1.737289379223086E8 5
3.022689274100976E8 5
7.120976453332739E7 5
9.820773926001482E7 5
5.271710949519981E7 5
1.8907271240420443E8 5
2.356767057972412E8 5
1.328884750346967E8 5
3.980994605461008E8 5
1.5972647161935508E8 5
2.6919695132842034E8 5
1.3549845064779004E8 5
2.2401737504291862E8 5
2.250397223380933E8 5
1.3277200618488395E8 5
3.0160775162449235E8 5
4.8626768528391373E8 5
2.2185147916685373E8 5
1.0870575930728844E8 5
3.1982134716983074E8 5
3.229128916496674E8 5
5.1927220504610464E7 4
5.662506939947627E7 4
8.608563231135063E7 4
1.0881998716981836E8 4
5.696834177880189E7 4
2.1128455132531E8 4
6.698502961941137E7 4
5.927323070443342E7 4
1.1259195085761856E8 4
5.702480089453504E7 4
7.89601313483226E7 4
1.1696619745283681E8 4
1.1178280560905732E8 4
5.609741596354136E7 4
3.596102385592688E7 4
6.71147074796413E7 4
6.204887631180875E7 4
7.738544314835292E7 4
9.021141595730534E7 4
2.077965688963714E8 4
6.5608208777638175E7 4
1.0413263272499736E8 4
8.208528496679962E7 4
3.73142740940703E7 4
8.758677115559721E7 4
8.58232694403584E7 4
6.11659251585986E7 4
1.210007224678907E8 4
7.678067306986696E7 4
8.550787698405689E7 5
1.9395394877367452E8 5
1.2227354857109787E8 5
1.479374173277514E8 5
7.491958310693015E7 5
1.5544350791717485E8 5
2.3425863958437568E8 5
5.232165887520548E7 5
8.467019590015061E7 5
3.911796965761504E7 5
1.4204238564093935E8 5
1.6404616773129016E8 5
9.629350534657055E7 5
2.255190758577242E8 5
1.7425463947654748E8 5
2.4812795597228342E8 5
8.146046274144068E7 5
1.411423787167095E8 5
1.5227671006053895E8 5
8.34576894908696E7 5
1.7451561190730694E8 5
2.5947062842505792E8 5
1.6494166025013384E8 5
9.62668396404836E7 5
1.7104591219581196E8 5
3.3625690434477705E8 5
9.37316519224326E7 4
1.0897077939153147E8 4
1.7282632425861737E8 4
2.2048741615735477E8 4
1.481627264337547E8 4
1.5759945961592162E8 4
1.637055896736145E8 4
1.3420168383061247E8 4
1.325892911766185E8 4
1.4117117613600916E8 4
1.5352955236957186E8 4
3.566185380868809E8 4
2.736690960082398E8 4
1.1348227742349856E8 4
7.320775120459956E7 4
1.5879385312830225E8 4
1.1660452687679745E8 4
4.724594928491735E7 4
1.5240138905811033E8 4
1.535291437961776E8 4
1.8794991118048856E8 4
2.0130681010920584E8 4
1.787029946244529E8 4
5.483724189707506E7 4
3.720149322011465E8 4
1.5684886228298193E8 4
1.2107672454448654E8 4
1.7646867546325308E8 4
2.1065201761095658E8 4
4.266192749784051E8 5
1.1793670739813309E9 5
7.650285809397101E8 5
8.915262853176916E8 5
3.5474377201027584E8 5
1.0267046256044924E9 5
1.0832383837063775E9 5
3.228057814895884E8 5
3.793977887829955E8 5
2.3402960251509684E8 5
9.681961864670177E8 5
7.387449064214672E8 5
5.446130406260122E8 5
1.6474261705035625E9 5
1.1931686309877675E9 5
1.6728321088368793E9 5
4.541315606347021E8 5
6.16762930255691E8 5
6.061115087521068E8 5
4.3689730591777354E8 5
1.0677854952685027E9 5
7.465544959351457E8 5
1.1052647657688103E9 5
4.4817015779513574E8 5
1.0713177608832275E9 5
2.30685968692008E9 5
6.1063053769190304E7 4
7.553309914611614E7 4
1.3007140714802527E8 4
1.235995265263715E8 4
7.867797463950042E7 4
1.8781136956745157E8 4
8.637011676512508E7 4
7.866588701906255E7 4
1.1156372035694581E8 4
7.351568518165226E7 4
1.1527638818656187E8 4
1.4593499738381055E8 4
1.4087788674616173E8 4
6.8576689242192E7 4
4.1710969176434875E7 4
9.46777053383498E7 4
8.212442610698472E7 4
6.944211527394594E7 4
1.416884335160819E8 4
1.803962762109072E8 4
7.108506806325705E7 4
1.0616350158804736E8 4
1.083624710866378E8 4
5.514319454164194E7 4
1.0030806775330003E8 4
1.3084041977484296E8 4
8.985640562802398E7 4
1.2602759367115264E8 4
1.0403669528178294E8 4
1.0224508547994086E8 5
2.0843215646215776E8 5
7.212327198597544E7 5
1.2695428174264546E8 5
4.826893346493188E7 5
1.3850140761307842E8 5
2.6827222487326643E8 5
4.76396917233337E7 5
1.1414061838129939E8 5
3.189589867174824E7 5
8.699875254325613E7 5
1.3459908291858935E8 5
6.429094624529008E7 5
1.4889308315960485E8 5
9.729435347095224E7 5
1.7775218171567416E8 5
5.895742809678514E7 5
1.050761310366956E8 5
1.0514446889038107E8 5
6.3798259114635244E7 5
1.002875427766141E8 5
1.796204833741296E8 5
1.2779640242810601E8 5
5.442457882653065E7 5
1.1073702710336258E8 5
1.8717874763529745E8 5
1.82675902752844E8 4
2.0189191167710838E8 4
3.474339638530556E8 4
3.1470543439635366E8 4
1.7422112234702536E8 4
6.499459524354287E8 4
2.2233130801045924E8 4
1.8886276149979505E8 4
3.5637101312327343E8 4
1.660008028367509E8 4
2.3089757439476347E8 4
3.221048032518165E8 4
3.4661043117435384E8 4
1.8374444869578815E8 4
1.350161041480423E8 4
1.9907869002313182E8 4
2.1896886492962044E8 4
2.4695361009214947E8 4
1.7779621264028335E8 4
5.952760063534062E8 4
1.816296416143493E8 4
3.0914223827609676E8 4
2.3778334112800682E8 4
1.1644486658329311E8 4
2.302755043391095E8 4
2.5534595646245384E8 4
2.4055902070504206E8 4
3.7163700085029095E8 4
2.2991459131415698E8 4
1.546010938159254E8 5
4.4636069592064714E8 5
1.7671427680398276E8 5
2.0708525873897165E8 5
1.360373447179659E8 5
2.931027112324576E8 5
3.6502873710521466E8 5
9.314546618043408E7 5
1.359595304806081E8 5
6.751658305862524E7 5
1.9092978936430138E8 5
2.7926686544087684E8 5
1.5876507471812135E8 5
3.448657769141729E8 5
2.729627389679672E8 5
4.220527544246588E8 5
1.654645765935899E8 5
2.4427612321168357E8 5
2.953777415306412E8 5
1.5934522555378783E8 5
2.748409844835796E8 5
5.588744139031125E8 5
2.871922252914737E8 5
1.6520815316072193E8 5
2.916554578377502E8 5
5.12075500300948E8 5
1.0498220486240394E8 4
1.2420030901087503E8 4
2.4497371913774815E8 4
1.5598818973134318E8 4
1.0803541782503147E8 4
2.085625745145309E8 4
1.4566034159999368E8 4
1.0962778547498074E8 4
1.374137158688344E8 4
1.1281485208957145E8 4
1.3001844820977677E8 4
2.0763539694776404E8 4
2.296302217022383E8 4
8.636435618619244E7 4
8.03267285007864E7 4
1.2929458553137031E8 4
1.354124935499059E8 4
8.292135388409093E7 4
9.965653954817885E7 4
1.542077803583863E8 4
1.0003230639519534E8 4
1.4986135066100356E8 4
1.4111390098436674E8 4
6.6975330127693586E7 4
1.4195099824106103E8 4
1.5593454866598845E8 4
1.7503486517884082E8 4
1.616749286437138E8 4
1.628382752807905E8 4
1.3269417069049905E8 5
4.0867241400231063E8 5
1.5093929239259467E8 5
1.8151876870963088E8 5
7.604237463721971E7 5
2.801413201473076E8 5
3.417247968005586E8 5
8.59611603079177E7 5
1.3163047737538613E8 5
5.9873196849053554E7 5
1.7304706722267705E8 5
1.780390974356118E8 5
1.0670589910962468E8 5
3.050224541905666E8 5
2.4096767535678637E8 5
3.833788793222016E8 5
1.392055511161056E8 5
1.450724454543356E8 5
1.5923220335916257E8 5
1.3481784576477778E8 5
2.4551073762057638E8 5
2.141239514425918E8 5
2.6697567790023667E8 5
1.3622373469895574E8 5
2.7313349832337314E8 5
4.287638067994998E8 5
1.648664378883764E8 4
1.9948275798121557E8 4
3.443994832995554E8 4
3.316902517416149E8 4
2.3466524071752205E8 4
2.706304666440982E8 4
2.8105118608360493E8 4
2.153781414886107E8 4
2.2275459977305028E8 4
2.3312712110221332E8 4
2.782259816135293E8 4
5.42024160857658E8 4
4.435232678764264E8 4
1.7010810462582418E8 4
1.2028442469277495E8 4
2.7730527140965176E8 4
2.164338631808868E8 4
1.0404272586986537E8 4
3.421559826359608E8 4
2.385904986039183E8 4
2.596671621964734E8 4
2.930937491255985E8 4
3.157532346953358E8 4
1.1747358954769003E8 4
4.53959296216195E8 4
3.045932026158947E8 4
2.459568197743862E8 4
2.8493067621088326E8 4
3.3606748325603867E8 4
4.933157832130684E8 5
1.3410359534662998E9 5
6.373310918017946E8 5
8.965219264567431E8 5
3.454258621862832E8 5
1.0361758504245172E9 5
1.1184240654317377E9 5
3.5395936334510845E8 5
4.903463889326043E8 5
2.4653120609483537E8 5
8.432578563480686E8 5
7.423125637478497E8 5
5.422231625872505E8 5
1.4933623766365356E9 5
1.0490714564893417E9 5
1.5602173195772336E9 5
4.518642477447325E8 5
5.813095416152902E8 5
5.415792346865537E8 5
4.6262986391326076E8 5
8.988662467120075E8 5
7.288065428026596E8 5
1.1511899395415375E9 5
3.757956060316945E8 5
9.749481875855495E8 5
2.082456389095225E9 5
5.59947941881085E7 4
6.6017793250752494E7 4
1.157486983536184E8 4
1.0923693206744635E8 4
6.21669135022617E7 4
1.553032824054002E8 4
8.44980166277528E7 4
6.284328042487912E7 4
1.0141566905135329E8 4
7.020189124817543E7 4
8.77576368650538E7 4
1.3333243913010783E8 4
1.1846254614999467E8 4
6.924979112081504E7 4
3.712909129942336E7 4
7.223059567853329E7 4
7.583151563734831E7 4
7.264580440783142E7 4
9.331585355968E7 4
1.7006863388764897E8 4
7.086658380710587E7 4
8.187534496165827E7 4
8.990279917031685E7 4
5.8373831670722015E7 4
1.0092072168304257E8 4
9.847483792771813E7 4
6.478863117805865E7 4
1.0499662980397649E8 4
7.0786519564361E7 4
1.637158702707056E8 5
1.1156420728429572E8 5
4.671269860033899E7 5
1.669157289738698E8 5
3.0254785683713812E7 5
8.031863818443903E7 5
1.4866002927336517E8 5
2.5445893609068487E7 5
7.998187842033961E7 5
2.7826839061372444E7 5
2.0290253089446548E8 5
7.896262171194604E7 5
4.680846628892311E7 5
5.2053532968733394E8 5
5.3214831979767635E7 5
1.0385860949175708E8 5
5.0029691389914624E7 5
5.7474278743998915E7 5
6.5021395846840985E7 5
4.160995488835803E7 5
5.408276387355902E7 5
1.1587307175626197E8 5
1.730253398625713E8 5
3.2395896472130235E7 5
5.826247767621373E7 5
1.8506871874122924E8 5
1.0898283442453344E8 4
1.3909676356497735E8 4
2.340728030587708E8 4
1.7418006612316138E8 4
1.2970056595823134E8 4
2.2390406542787394E8 4
1.5566398643820882E8 4
1.22348968218151E8 4
1.527052713412867E8 4
1.1989357086928706E8 4
1.8804444399852368E8 4
2.2587571654469213E8 4
2.287840560732327E8 4
1.1390734013654177E8 4
8.250681427053398E7 4
1.532294449448046E8 4
1.556049142174961E8 4
1.0527534925037466E8 4
2.2285703440236256E8 4
1.957526017683479E8 4
1.0348700926369102E8 4
1.394288356438711E8 4
1.8750019737683082E8 4
9.674107316309379E7 4
1.173225709019379E8 4
2.1679906007849625E8 4
1.5608406321321622E8 4
1.6785067663817635E8 4
1.643443230222178E8 4
1.0650025685158992E8 5
1.2451333656629463E8 5
7126674.900394969 5
3.0996284746017147E7 5
